Id,Prediction
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,0
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,0
122,1
123,1
124,0
125,0
126,1
127,0
128,1
129,1
130,1
131,0
132,0
133,0
134,1
135,1
136,0
137,1
138,1
139,0
140,0
141,1
142,0
143,0
144,1
145,0
146,1
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,0
189,1
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,1
217,0
218,1
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,0
231,1
232,0
233,0
234,1
235,0
236,1
237,0
238,0
239,0
240,1
241,0
242,1
243,0
244,0
245,0
246,1
247,1
248,1
249,1
250,0
251,0
252,1
253,0
254,0
255,1
256,1
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,0
265,1
266,0
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,0
278,1
279,0
280,0
281,1
282,0
283,1
284,0
285,0
286,1
287,0
288,0
289,1
290,1
291,1
292,0
293,1
294,0
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,1
324,1
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,0
339,1
340,0
341,0
342,1
343,1
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,0
354,1
355,0
356,0
357,1
358,0
359,1
360,1
361,0
362,0
363,0
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,0
373,1
374,0
375,1
376,1
377,0
378,0
379,0
380,1
381,1
382,0
383,1
384,1
385,0
386,1
387,0
388,1
389,0
390,0
391,0
392,1
393,0
394,0
395,1
396,1
397,1
398,0
399,1
400,0
401,1
402,1
403,1
404,0
405,0
406,0
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,1
425,1
426,0
427,1
428,0
429,1
430,1
431,1
432,0
433,0
434,1
435,0
436,1
437,1
438,0
439,1
440,0
441,0
442,0
443,1
444,1
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,1
454,0
455,1
456,1
457,0
458,1
459,0
460,1
461,1
462,1
463,1
464,0
465,0
466,1
467,1
468,0
469,1
470,0
471,1
472,1
473,1
474,1
475,0
476,1
477,0
478,1
479,0
480,1
481,0
482,0
483,1
484,1
485,1
486,0
487,1
488,0
489,1
490,0
491,0
492,1
493,1
494,0
495,0
496,1
497,1
498,1
499,0
500,1
501,1
502,1
503,1
504,0
505,1
506,1
507,0
508,0
509,1
510,1
511,0
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,1
524,1
525,0
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,1
537,0
538,0
539,0
540,1
541,0
542,1
543,0
544,0
545,0
546,1
547,1
548,1
549,0
550,1
551,1
552,0
553,1
554,0
555,1
556,0
557,1
558,1
559,0
560,0
561,1
562,1
563,0
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,0
576,0
577,0
578,1
579,1
580,0
581,1
582,1
583,0
584,0
585,0
586,0
587,0
588,1
589,1
590,1
591,0
592,0
593,1
594,0
595,1
596,0
597,0
598,1
599,1
600,0
601,0
602,0
603,0
604,1
605,0
606,0
607,1
608,1
609,1
610,0
611,0
612,0
613,1
614,0
615,0
616,0
617,1
618,0
619,0
620,0
621,1
622,0
623,0
624,1
625,0
626,0
627,0
628,0
629,1
630,0
631,0
632,1
633,1
634,1
635,1
636,1
637,0
638,1
639,0
640,1
641,0
642,1
643,0
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,1
652,0
653,1
654,1
655,1
656,1
657,0
658,1
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,1
667,1
668,1
669,1
670,0
671,0
672,1
673,1
674,1
675,1
676,0
677,1
678,0
679,1
680,0
681,1
682,0
683,1
684,0
685,1
686,1
687,0
688,0
689,1
690,0
691,1
692,1
693,0
694,0
695,1
696,1
697,1
698,1
699,1
700,0
701,0
702,1
703,1
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,0
714,0
715,0
716,1
717,0
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,0
726,0
727,0
728,1
729,0
730,0
731,0
732,1
733,0
734,0
735,1
736,0
737,1
738,1
739,1
740,0
741,1
742,0
743,1
744,1
745,0
746,0
747,0
748,0
749,1
750,0
751,1
752,0
753,1
754,1
755,0
756,1
757,0
758,1
759,1
760,0
761,1
762,0
763,1
764,1
765,0
766,1
767,1
768,0
769,0
770,0
771,1
772,0
773,0
774,1
775,0
776,1
777,1
778,0
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,1
787,1
788,0
789,0
790,1
791,1
792,0
793,0
794,1
795,1
796,1
797,0
798,1
799,0
800,1
801,0
802,1
803,1
804,0
805,0
806,1
807,0
808,0
809,1
810,1
811,0
